question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
Please select the grades you teach ?,Which class is being taught by the teacher ?,ivrss-class-visited,"{1, 2, 3, 4, 5, 6, 7, 8}",False,2,AC,,,ನೀವು ಕಲಿಸುವ ತರಗತಿ ?,"{1, 2, 3, 4, 5, 6, 7, 8}"
Are you trained in GKA Methodology ?,Is the teacher trained in GKA methodology?,ivrss-gka-trained,"{Yes,No}",False,1,AC,,,ನಿಮಗೆ ಗಣಿತ ಕಲಿಕಾ ಆಂದೋಲನದ ಶಿಕ್ಷಕರ ತರಬೇತಿ ಆಗಿದೆಯೇ?,"{ಹೌದು,ಇಲ್ಲ}"
Please select the grades in which you use GKA Kit for teaching?,Which class is the GKA kit being used for teaching ?,Academic,"{1, 2, 3, 4, 5, 6, 7, 8}",False,2,AC,,,ನೀವು ಗಣಿತ ಕಿಟ್ ಬಳಕೆ ಯಾವ ತರಗತಿಗೆ ಮಾಡುತ್ತಿದ್ದೀರಾ?,"{1, 2, 3, 4, 5, 6, 7, 8}"
How often you use the GKA math kit TLMs in your math class? ,How often do you use the GKA math kit TLMs in math class ?,Academic,"{Everyday,Twice in a week,Once in a week,Very rare,Depending on the requirement}",False,2,AC,,,ನೀವು ಗಣಿತ ಕಿಟ್ ಕಲಿಕೋಪಕಾರಣಗಳನ್ನು ನಿಮ್ಮ ತರಗತಿಯಲ್ಲಿ ಉಪಯೋಗಿಸುತ್ತಿದ್ದೀರಾ?,"{ಪ್ರತಿ ದಿನ, ವಾರಕ್ಕೆ ಎರಡು ಬಾರಿ, ವಾರಕ್ಕೆ ಒಂದು ಬಾರಿ, ಯಾವಾಗಲಾದರೂ ಒಮ್ಮೆ, ಅಗತ್ಯ ವಿದ್ದರೆ ಮಾತ್ರ}"
"If the teacher is using Math Kit, then which TLM is used more frequently?",Which Math kit TLM is used more frequently ?,Academic,"{Square counters,Number Line & Cloth Clips,Abacus,Base Ten Blocks and Place Value Mat,Fraction Shapes,Fraction Strips,Decimal unit,Decimal place value strips,Dice,Measuring tape,Geo Board,Clock and Protractor,Weighing balance,Geosolid shapes with nets,Play Money Notes and Coins,Tangrams,Concept cards for Maths}",False,2,AC,,,ನೀವು ಗಣಿತ ಕಿಟ್ ಬಳಸುತ್ತಿದ್ದಲ್ಲಿ ನೀವು ಆಗಾಗ್ಗೆ ಉಪಯೋಗಿಸುವ ಕಲಿಕೋಪಕಾರಣ ಯಾವುವು?,"{ಚೌಕಳಿ ಬಿಲ್ಲೆಗಳು,ಸಂಖ್ಯಾ ಮಣಿಗಳು,ಅಬ್ಯಾಕಸ್,ಬೇಸ್ ಟೆನ್ ಬ್ಲಾಕ್ಗಳು ಮತ್ತು ಸ್ಥಾನ ಬೆಲೆ ಸೂಚಿ,ಭಿನ್ನರಾಶಿ ಆಕಾರಗಳು,ಭಿನ್ನರಾಶಿ ಪಟ್ಟಿ,ದಶಾಂಶ ಸ್ಥಾನ ಮೌಲ್ಯ ಪಟ್ಟಿಗಳು,ದಶಮಾಂಶ ಸೆಟ್,ದಾಳಗಳು,ಅಳತೆ ಟೇಪು,ಜಿಯೋ ಬೋರ್ಡ್,ಸಮಯ ಮತ್ತು ಕೋನಮಾಪಕ,ತೂಕದ ಸಮತೋಲನ,ಘನವಸ್ತುಗಳು ಮತ್ತು ಜಾಲಗಳು,ಆಟಿಕೆ ಹಣ,ಟ್ಯಾನ್ಗ್ರಾಮ್ಸ್ ,ಪರಿಕಲ್ಪನೆ ಕಾರ್ಡ್ಗಳು}"
"If the teacher is using Math Kit, then which TLM is used least? (multiple selection)",Which Math kit TLM is used least ?,Academic,"{Square counters,Number Line & Cloth Clips,Abacus,Base Ten Blocks and Place Value Mat,Fraction Shapes,Fraction Strips,Decimal unit,Decimal place value strips,Dice,Measuring tape,Geo Board,Clock and Protractor,Weighing balance,Geosolid shapes with nets,Play Money Notes and Coins,Tangrams,Concept cards for Maths}",False,2,AC,,,ನೀವು ಗಣಿತ ಕಿಟ್ ಬಳಸುತ್ತಿದ್ದಲ್ಲಿ ನೀವು ಬಹಳ ಕಡಿಮೆ ಉಪಯೋಗಿಸುವ ಕಲಿಕೋಪಕಾರಣ ಯಾವುವು?,"{ಚೌಕಳಿ ಬಿಲ್ಲೆಗಳು,ಸಂಖ್ಯಾ ಮಣಿಗಳು,ಅಬ್ಯಾಕಸ್,ಬೇಸ್ ಟೆನ್ ಬ್ಲಾಕ್ಗಳು ಮತ್ತು ಸ್ಥಾನ ಬೆಲೆ ಸೂಚಿ,ಭಿನ್ನರಾಶಿ ಆಕಾರಗಳು,ಭಿನ್ನರಾಶಿ ಪಟ್ಟಿ,ದಶಾಂಶ ಸ್ಥಾನ ಮೌಲ್ಯ ಪಟ್ಟಿಗಳು,ದಶಮಾಂಶ ಸೆಟ್,ದಾಳಗಳು,ಅಳತೆ ಟೇಪು,ಜಿಯೋ ಬೋರ್ಡ್,ಸಮಯ ಮತ್ತು ಕೋನಮಾಪಕ,ತೂಕದ ಸಮತೋಲನ,ಘನವಸ್ತುಗಳು ಮತ್ತು ಜಾಲಗಳು,ಆಟಿಕೆ ಹಣ,ಟ್ಯಾನ್ಗ್ರಾಮ್ಸ್ ,ಪರಿಕಲ್ಪನೆ ಕಾರ್ಡ್ಗಳು}"
Is the Math kit helpful in improving learning outcome in math? ,Is the math kit helpful in improving the learning outcome.,Academic,"{Yes,No,Can't say}",False,1,AC,,,ನಿಮ್ಮ ತರಗತಿಯ ಕಲಿಕಾ ಗುಣಮಟ್ಟವನ್ನು ಹೆಚ್ಚಿಸಲು ಗಣಿತ ಕಿಟ್ ಉಪಯೋಗಕಾರಿಯಾಗಿದೆಯೇ?,"{ಹೌದು,ಇಲ್ಲ,ಗೊತ್ತಿಲ್ಲ}"
Do you think GKA Method is aligned with your day to day Math teaching? ,Is the GKA method aligned with your day to day math teaching ?,Academic,"{Yes,No,Can't say}",False,1,AC,,,ನಿಮ್ಮ ದೈನಂದಿನ ವರ್ಗ ಕೋಣೆಯ ಪಠ್ಯಕ್ರಮದ ಚಟುವಟಿಕೆಯ ಪ್ರಕಾರ ಜಿ. ಕೆ. ಏ. ಬೋಧನಾ ಕ್ರಮವು ಪೂರಕವಾಗಿದೆಯೇ?,"{ಹೌದು,ಇಲ್ಲ,ಗೊತ್ತಿಲ್ಲ}"
Which concept did you find easy to teach using the GKA TLMs?,Which concept was easy to teach using the GKA tlms ?,Academic,"{Addition,Subtraction,Multiplication,Division,Decimal,Fractions,Shapes,Angles,Time,Measurement,Patterns,Data Handling,Factors/Multiples}",False,2,AC,,,ಜಿ ಕೆ ಏ ಕಿಟ್ ಸಹಾಯದಿಂದಾಗಿ ಯಾವ ಪರಿಕಲ್ಪನೆ ಶಿಕ್ಷಕರಿಗೆ ಬೋಧಿಸಲು ತುಂಬಾ ಅನುಕೂಲ ಹಾಗು ಸುಲಭದಾಯಕವಾಗಿದೆ? ,"{ಸಂಕಲನ,ವ್ಯವಕಲನ,ಗುಣಾಕಾರ,ಭಾಗಾಕಾರ,ದಶಾಂಶ,ಭಿನ್ನರಾಶಿ,ಆಕಾರಗಳು,ಕೋನಗಳು,ಸಮಯ ಮಾಪನ,ವಿನ್ಯಾಸ,ದತ್ತಾಂಶ,ಅಪವರ್ತನ / ಅಪವರ್ತ್ಯಗಳು}"
Do you find the Ganitha Kalika Teacher's Manual useful for classroom preparation?,Ganitha Kalika Teacher's Manual useful for classroom preparation ?,Academic,"{Yes,No,Can't say}",False,1,AC,,,ಗಣಿತ ಕಲಿಕಾ ಅನೋದೋಲನದ ಶಿಕ್ಷಕರ ಕೈಪಿಡಿ ನಿಮಗೆ ನಿಮ್ಮ ತರಗತಿಯ ಸಿದ್ಧತೆಗೆ ಸಹಾಯವಾಗುತ್ತಿದೆಯೇ?,"{ಹೌದು,ಇಲ್ಲ,ಗೊತ್ತಿಲ್ಲ}"
